Earmark Description,Location,Amount,Administering State Agency,State Agency Contact,Account Number,Earmark Language
54th Massachusetts Reenactors and Historical Society,Boston,25000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,70021530,"provided further that not less than $25,000 shall be expended for the 54th Massachusetts Volunteer Infantry Regiment Company A Reenactors and Historical Society based in the Readville section of Boston"
A Street Pier Boat Ramp Rebuilding,Hull,150000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,15992031,"provided further, that not less than $150,000 shall be expended to rebuild the public boat ramp at A street pier in Hull"
Abigail Adams Historical Society,Weymouth,25000,ANF - Executive Office For Administration And Finance,daniel.shark@mass.gov,15992058,"provided further, that not less than $25,000 shall be expended to the Abigail Adams Historical Society Incorporated in the city known as the town of Weymouth"
Abington Housing Authority Upgrades,Abington,85000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $85,000 shall be made available for the town of Abington Housing Authority to make improvements including, but not limited to, kitchen and bath upgrades"
Abington Utility Task Vehicle,Abington,28000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,15992043,"provided further, that not less than $28,000 shall be expended for acquiring a utility task vehicle in Abington"
Accelerating Training Opportunities for Commercial Truck Drivers,Boston,975000,LWD - Executive Office Of Labor And Workforce Development,sheila.l.tunney2@mass.gov,70030102,"provided further, that not less than $975,000 shall be expended for the expansion of the Teamsters Local 25 Driver Training Program for the purpose of accelerating a commercial truck driver training program; provided further, that not more than 30 per cent of these funds expended to Teamsters Local 25 pursuant to this item may be expended for upgrades to training equipment; provided further, that the funds expended to Teamsters Local 25 pursuant to this item shall be subject to a 100 per cent matching requirement"
Access HOPE Corp. Harm Reduction,Cape Cod,20000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further, that not less than $20,000 shall be expended for Access HOPE Corp. for harm reduction services to stem the addiction crisis"
Accessibility Improvements in Belmont Affordable Housing,Belmont,150000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $150,000 shall be expended for the town of Belmont for the improvement of accessibility at Waverley Oaks"
Address Structural Concerns at Burr's Pond Conservation Area,Seekonk,50000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,15992031,"provided further, that not less than $50,000 shall be expended to the town of Seekonk for funding to assess the structural concerns at the Burr’s pond dam"
Advancing Digital Equity and Access,Salem,200000,DOR - Department Of Revenue,krzywickil@dor.state.ma.us,15992032,"provided further, that not less than $200,000 shall be expended to close the broadband gap and help ensure equity and digital access within low-income neighborhoods and housing complexes, and to provide assistance for a digital coordinator within the city of Salem to work in close concert with schools, non-profits and community organizations to provide digital training, support for acquiring devices, and assistance with growing digital navigators across the community"
Affordable Housing for Seniors in Franklin,Franklin,150000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $150,000 shall be expended for the production of affordable, rental supportive senior housing in the city known as the town of Franklin"
