"GEO_ID","id"
"NAME","Geographic Area Name"
"B25091_001E","Estimate!!Total:"
"B25091_001M","Margin of Error!!Total:"
"B25091_002E","Estimate!!Total:!!Housing units with a mortgage:"
"B25091_002M","Margin of Error!!Total:!!Housing units with a mortgage:"
"B25091_003E","Estimate!!Total:!!Housing units with a mortgage:!!Less than 10.0 percent"
"B25091_003M","Margin of Error!!Total:!!Housing units with a mortgage:!!Less than 10.0 percent"
"B25091_004E","Estimate!!Total:!!Housing units with a mortgage:!!10.0 to 14.9 percent"
"B25091_004M","Margin of Error!!Total:!!Housing units with a mortgage:!!10.0 to 14.9 percent"
"B25091_005E","Estimate!!Total:!!Housing units with a mortgage:!!15.0 to 19.9 percent"
"B25091_005M","Margin of Error!!Total:!!Housing units with a mortgage:!!15.0 to 19.9 percent"
"B25091_006E","Estimate!!Total:!!Housing units with a mortgage:!!20.0 to 24.9 percent"
"B25091_006M","Margin of Error!!Total:!!Housing units with a mortgage:!!20.0 to 24.9 percent"
"B25091_007E","Estimate!!Total:!!Housing units with a mortgage:!!25.0 to 29.9 percent"
"B25091_007M","Margin of Error!!Total:!!Housing units with a mortgage:!!25.0 to 29.9 percent"
"B25091_008E","Estimate!!Total:!!Housing units with a mortgage:!!30.0 to 34.9 percent"
"B25091_008M","Margin of Error!!Total:!!Housing units with a mortgage:!!30.0 to 34.9 percent"
"B25091_009E","Estimate!!Total:!!Housing units with a mortgage:!!35.0 to 39.9 percent"
"B25091_009M","Margin of Error!!Total:!!Housing units with a mortgage:!!35.0 to 39.9 percent"
"B25091_010E","Estimate!!Total:!!Housing units with a mortgage:!!40.0 to 49.9 percent"
"B25091_010M","Margin of Error!!Total:!!Housing units with a mortgage:!!40.0 to 49.9 percent"
"B25091_011E","Estimate!!Total:!!Housing units with a mortgage:!!50.0 percent or more"
"B25091_011M","Margin of Error!!Total:!!Housing units with a mortgage:!!50.0 percent or more"
"B25091_012E","Estimate!!Total:!!Housing units with a mortgage:!!Not computed"
"B25091_012M","Margin of Error!!Total:!!Housing units with a mortgage:!!Not computed"
"B25091_013E","Estimate!!Total:!!Housing units without a mortgage:"
"B25091_013M","Margin of Error!!Total:!!Housing units without a mortgage:"
"B25091_014E","Estimate!!Total:!!Housing units without a mortgage:!!Less than 10.0 percent"
"B25091_014M","Margin of Error!!Total:!!Housing units without a mortgage:!!Less than 10.0 percent"
"B25091_015E","Estimate!!Total:!!Housing units without a mortgage:!!10.0 to 14.9 percent"
"B25091_015M","Margin of Error!!Total:!!Housing units without a mortgage:!!10.0 to 14.9 percent"
"B25091_016E","Estimate!!Total:!!Housing units without a mortgage:!!15.0 to 19.9 percent"
"B25091_016M","Margin of Error!!Total:!!Housing units without a mortgage:!!15.0 to 19.9 percent"
"B25091_017E","Estimate!!Total:!!Housing units without a mortgage:!!20.0 to 24.9 percent"
"B25091_017M","Margin of Error!!Total:!!Housing units without a mortgage:!!20.0 to 24.9 percent"
"B25091_018E","Estimate!!Total:!!Housing units without a mortgage:!!25.0 to 29.9 percent"
"B25091_018M","Margin of Error!!Total:!!Housing units without a mortgage:!!25.0 to 29.9 percent"
"B25091_019E","Estimate!!Total:!!Housing units without a mortgage:!!30.0 to 34.9 percent"
"B25091_019M","Margin of Error!!Total:!!Housing units without a mortgage:!!30.0 to 34.9 percent"
"B25091_020E","Estimate!!Total:!!Housing units without a mortgage:!!35.0 to 39.9 percent"
"B25091_020M","Margin of Error!!Total:!!Housing units without a mortgage:!!35.0 to 39.9 percent"
"B25091_021E","Estimate!!Total:!!Housing units without a mortgage:!!40.0 to 49.9 percent"
"B25091_021M","Margin of Error!!Total:!!Housing units without a mortgage:!!40.0 to 49.9 percent"
"B25091_022E","Estimate!!Total:!!Housing units without a mortgage:!!50.0 percent or more"
"B25091_022M","Margin of Error!!Total:!!Housing units without a mortgage:!!50.0 percent or more"
"B25091_023E","Estimate!!Total:!!Housing units without a mortgage:!!Not computed"
"B25091_023M","Margin of Error!!Total:!!Housing units without a mortgage:!!Not computed"
