,Unnamed: 0,Earmark Description,Location,Amount,Administering State Agency,State Agency Contact,Account Number,Earmark Language,Agency,Categories,Health,Housing,Food,Arts,Construction,Economic,Education,Environment,Essential Services,Equality,Events,Historical,Human Services,Mental Health,Occupational,Recreation,Rehabilitation,Religious,Transport,Technology,Youth Programs,Accessibility,Maintenance,Research,amdt_match,Amendment No.,Title,Sponsor,Subject,Consolidated Amendment,Status
0,7,Accessibility Improvements in Belmont Affordable Housing,Belmont,150000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $150,000 shall be expended for the town of Belmont for the improvement of accessibility at Waverley Oaks",DHC,"Housing, Maintenance, Accessibility",False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,Accessibility Improvements in Belmont Affordable Housing,829,Accessibility Improvements in Belmont Affordable Housing,"Rogers, David M. (HOU)",Housing,A,Consolidated
1,11,Affordable Housing in Arlington,Arlington,200000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $200,000 shall be expended to the town of Arlington for the acquisition of affordable housing units",DHC,Housing,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Affordable Housing in Arlington,659-R1,Affordable Housing in Arlington,"Friedman, Cindy F. (SEN)",Local,Yes Bundle 3,Adopted
2,12,Affordable Housing in Lexington,Lexington,200000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $200,000 shall be expended to the town of Lexington for a feasibility and initial design study for the construction of affordable housing units in the town center",DHC,"Housing, Construction, Research",False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Affordable Housing in Lexington,660-R1,Affordable Housing in Lexington,"Friedman, Cindy F. (SEN)",Local,Yes Bundle 3,Adopted
3,13,Agawam Infrastructure Improvements,Agawam,150000,ANF - Executive Office For Administration And Finance,daniel.shark@mass.gov,15992058,"provided further, that not less than $150,000 shall be expended for infrastructure improvements in the city known as the town of Agawam",ANF,Maintenance,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Agawam Infrastructure Improvements,681,Agawam Infrastructure Improvements,"Velis, John C. (SEN)",Local,Yes Bundle 3,Adopted
4,14,Agawam Senior Center Transportation,Agawam,75000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further, that not less $75,000 shall be expended to the Agawam council on aging for transportation at the Agawam senior center",EHS,"Transport, Human Services",False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,Agawam Senior Center Transportation,665,Agawam Senior Center Transportation,"Velis, John C. (SEN)",Local,Yes Bundle 3,Adopted
5,15,Agawam Veterans Council,Agawam,15000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further, that not less than $15,000 shall be expended to the Agawam Veterans Council to offset costs due to the 2019 novel coronavirus",EHS,Equality,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Agawam Veterans Council,712-R1,Agawam Veterans Council,"Velis, John C. (SEN)",Local,Yes Bundle 3,Adopted
6,18,Albion Cultural Exchange Accessibility Upgrades,Wakefield,70000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,70021530,"provided further, that not less than $70,000 shall be expended to the town of Wakefield for accessibility upgrades at the Albion Cultural Exchange",MMP,"Arts, Accessibility, Maintenance",False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,Albion Cultural Exchange Accessibility Upgrades,51,Albion Cultural Exchange Accessibility Upgrades,"Lewis, Jason M. (SEN)",Economic Development,Yes Bundle 1,Adopted
7,19,Alliance for Inclusion and Prevention Mental Health Care,Boston,200000,DMH - Department Of Mental Health,stephen.cidlevich@mass.gov,50110101,"provided further, that not less than $200,000 shall be expended for the Alliance for Inclusion and Prevention to expand children’s access to pandemic-related mental and emotional health services in K-12 schools in Boston, gateway cities and districts across Massachusetts",DMH,"Youth Programs, Education, Health",True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Alliance for Inclusion and Prevention Mental Health Care,794,Alliance for Inclusion and Prevention Mental Health Care,"Malia, Elizabeth A. (HOU)",Health and Human Services,B,Consolidated
8,23,American Legion Post,Saugus,20000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,15992043,"provided further, that not less than $20,000 shall be expended for a new commercial stove and oven for the American Legion Post 210 in Saugus",HED,Equality,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,American Legion Post,304,American Legion Post,"Wong, Donald H. (HOU)",Economic Development,D,Consolidated
9,24,American Legion Post 124,Westfield,20000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further, that not less than $20,000 shall be expended to the American Legion Post 124 in the city of Westfield to offset costs due to 2019 novel coronavirus pandemic",EHS,Equality,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,American Legion Post 124,714,American Legion Post 124,"Velis, John C. (SEN)",Local,Yes Bundle 3,Adopted
