,Unnamed: 0,Earmark Description,Location,Amount,Administering State Agency,State Agency Contact,Account Number,Earmark Language,Agency,Categories,Health,Housing,Food,Arts,Construction,Economic,Education,Environment,Essential Services,Equality,Events,Historical,Human Services,Mental Health,Occupational,Recreation,Rehabilitation,Religious,Transport,Technology,Youth Programs,Accessibility,Maintenance,Research,amdt_match
0,0,54th Massachusetts Reenactors and Historical Society,Boston,25000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,70021530,"provided further that not less than $25,000 shall be expended for the 54th Massachusetts Volunteer Infantry Regiment Company A Reenactors and Historical Society based in the Readville section of Boston",MMP,Historical,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,54th Massachusetts Reenactors and Historical Society
1,1,A Street Pier Boat Ramp Rebuilding,Hull,150000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,15992031,"provided further, that not less than $150,000 shall be expended to rebuild the public boat ramp at A street pier in Hull",DCR,"Recreation, Construction, Maintenance",False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,A Street Pier Boat Ramp Rebuilding
2,2,Abigail Adams Historical Society,Weymouth,25000,ANF - Executive Office For Administration And Finance,daniel.shark@mass.gov,15992058,"provided further, that not less than $25,000 shall be expended to the Abigail Adams Historical Society Incorporated in the city known as the town of Weymouth",ANF,Historical,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,Abigail Adams Historical Society
3,3,Abington Housing Authority Upgrades,Abington,85000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $85,000 shall be made available for the town of Abington Housing Authority to make improvements including, but not limited to, kitchen and bath upgrades",DHC,"Housing, Maintenance",False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Abington Housing Authority Upgrades
4,4,Abington Utility Task Vehicle,Abington,28000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,15992043,"provided further, that not less than $28,000 shall be expended for acquiring a utility task vehicle in Abington",HED,Transport,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Abington Utility Task Vehicle
5,5,Accelerating Training Opportunities for Commercial Truck Drivers,Boston,975000,LWD - Executive Office Of Labor And Workforce Development,sheila.l.tunney2@mass.gov,70030102,"provided further, that not less than $975,000 shall be expended for the expansion of the Teamsters Local 25 Driver Training Program for the purpose of accelerating a commercial truck driver training program; provided further, that not more than 30 per cent of these funds expended to Teamsters Local 25 pursuant to this item may be expended for upgrades to training equipment; provided further, that the funds expended to Teamsters Local 25 pursuant to this item shall be subject to a 100 per cent matching requirement",LWD,"Transport, Maintenance, Occupational",False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,Accelerating Training Opportunities for Commercial Truck Drivers
6,6,Access HOPE Corp. Harm Reduction,Mashpee,20000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further, that not less than $20,000 shall be expended for Access HOPE Corp. for harm reduction services to stem the addiction crisis",EHS,Rehabilitation,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Access HOPE Corp. Harm Reduction
7,7,Accessibility Improvements in Belmont Affordable Housing,Belmont,150000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $150,000 shall be expended for the town of Belmont for the improvement of accessibility at Waverley Oaks",DHC,"Housing, Maintenance, Accessibility",False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,Accessibility Improvements in Belmont Affordable Housing
8,8,Address Structural Concerns at Burr's Pond Conservation Area,Seekonk,50000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,15992031,"provided further, that not less than $50,000 shall be expended to the town of Seekonk for funding to assess the structural concerns at the Burr’s pond dam",DCR,"Environment, Recreation",False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Address Structural Concerns at Burr's Pond Conservation Area
9,9,Advancing Digital Equity and Access,Salem,200000,DOR - Department Of Revenue,krzywickil@dor.state.ma.us,15992032,"provided further, that not less than $200,000 shall be expended to close the broadband gap and help ensure equity and digital access within low-income neighborhoods and housing complexes, and to provide assistance for a digital coordinator within the city of Salem to work in close concert with schools, non-profits and community organizations to provide digital training, support for acquiring devices, and assistance with growing digital navigators across the community",DOR,"Housing, Transport, Equality, Occupational, Education, Technology",False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,Advancing Digital Equity and Access
10,10,Affordable Housing for Seniors in Franklin,Franklin,150000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $150,000 shall be expended for the production of affordable, rental supportive senior housing in the city known as the town of Franklin",DHC,"Housing, Human Services, Equality",False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Affordable Housing for Seniors in Franklin
11,11,Affordable Housing in Arlington,Arlington,200000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $200,000 shall be expended to the town of Arlington for the acquisition of affordable housing units",DHC,Housing,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Affordable Housing in Arlington
12,12,Affordable Housing in Lexington,Lexington,200000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $200,000 shall be expended to the town of Lexington for a feasibility and initial design study for the construction of affordable housing units in the town center",DHC,"Housing, Construction, Research",False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Affordable Housing in Lexington
13,13,Agawam Infrastructure Improvements,Agawam,150000,ANF - Executive Office For Administration And Finance,daniel.shark@mass.gov,15992058,"provided further, that not less than $150,000 shall be expended for infrastructure improvements in the city known as the town of Agawam",ANF,Maintenance,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Agawam Infrastructure Improvements
14,14,Agawam Senior Center Transportation,Agawam,75000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further, that not less $75,000 shall be expended to the Agawam council on aging for transportation at the Agawam senior center",EHS,"Transport, Human Services",False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,Agawam Senior Center Transportation
15,15,Agawam Veterans Council,Agawam,15000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further, that not less than $15,000 shall be expended to the Agawam Veterans Council to offset costs due to the 2019 novel coronavirus",EHS,Equality,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Agawam Veterans Council
16,16,Age-Friendly and Dementia-Friendly Community Efforts in Hopkinton,Hopkinton,30000,ANF - Executive Office For Administration And Finance,daniel.shark@mass.gov,15992058,"provided further, that not less than $30,000 shall be expended to the town of Hopkinton for costs related to the town’s efforts to be recognized as an age-friendly and dementia-friendly community",ANF,Human Services,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Age-Friendly and Dementia-Friendly Community Efforts in Hopkinton
