,Earmark Description,Location,Amount,Administering State Agency,State Agency Contact,Account Number,Earmark Language,Agency,Categories
6,Access HOPE Corp. Harm Reduction,Cape Cod,20000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further, that not less than $20,000 shall be expended for Access HOPE Corp. for harm reduction services to stem the addiction crisis",EHS,
16,Age-Friendly and Dementia-Friendly Community Efforts in Hopkinton,Hopkinton,30000,ANF - Executive Office For Administration And Finance,daniel.shark@mass.gov,15992058,"provided further, that not less than $30,000 shall be expended to the town of Hopkinton for costs related to the town’s efforts to be recognized as an age-friendly and dementia-friendly community",ANF,
17,"AHA! Art, History & Architecture",New Bedford,50000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,15992043,"provided further, that not less than $50,000 shall be expended for AHA! Art, History & Architecture in New Bedford",MMP,
20,"Alliance of Massachusetts YMCAs, Inc.",Statewide,10000000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,15992047,"provided further, that the department shall award not less than $10,000,000 to the Alliance of Massachusetts YMCAs, Inc., which shall be distributed among the alliance’s member organizations based on criteria developed by the Alliance of Massachusetts YMCAs, Inc.",HED,
23,American Legion Post,Saugus,20000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,15992043,"provided further, that not less than $20,000 shall be expended for a new commercial stove and oven for the American Legion Post 210 in Saugus",HED,
24,American Legion Post 124,Westfield,20000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further, that not less than $20,000 shall be expended to the American Legion Post 124 in the city of Westfield to offset costs due to 2019 novel coronavirus pandemic",EHS,
31,Amplify POC of Cape Cod,Cape Cod,50000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,15992043,"provided further, that not less than $50,000 shall be expended for additional programming and staffing for Amplify POC of Cape Cod",HED,
33,Animal Control Facility Infrastructure,Raynham,50000,EPS - Executive Office Of Public Safety & Homeland Security,Brian.Merrick@mass.gov,15992032,"provided further, that not less than $50,000 shall be expended for the infrastructure of the local animal control facility in the town of Raynham",EPS,
36,Arnold Arboretum Entrance Design Project,Boston,100000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,28000111,"provided further, that not less than $100,000 shall be expended for the Arnold Arboretum for the entrance design project",DCR,
40,Assabet Riverwalk Project and Riverbank Stabilization,Hudson,400000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,15992031,"provided further, that not less than $400,000 shall be expended for the town of Hudson for the completion of the Assabet riverwalk project and riverbank stabilization",DCR,
