,Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!Housing units with a mortgage:,Margin of Error!!Total:!!Housing units with a mortgage:,Estimate!!Total:!!Housing units with a mortgage:!!Less than 10.0 percent,Margin of Error!!Total:!!Housing units with a mortgage:!!Less than 10.0 percent,Estimate!!Total:!!Housing units with a mortgage:!!10.0 to 14.9 percent,Margin of Error!!Total:!!Housing units with a mortgage:!!10.0 to 14.9 percent,Estimate!!Total:!!Housing units with a mortgage:!!15.0 to 19.9 percent,Margin of Error!!Total:!!Housing units with a mortgage:!!15.0 to 19.9 percent,Estimate!!Total:!!Housing units with a mortgage:!!20.0 to 24.9 percent,Margin of Error!!Total:!!Housing units with a mortgage:!!20.0 to 24.9 percent,Estimate!!Total:!!Housing units with a mortgage:!!25.0 to 29.9 percent,Margin of Error!!Total:!!Housing units with a mortgage:!!25.0 to 29.9 percent,Estimate!!Total:!!Housing units with a mortgage:!!30.0 to 34.9 percent,Margin of Error!!Total:!!Housing units with a mortgage:!!30.0 to 34.9 percent,Estimate!!Total:!!Housing units with a mortgage:!!35.0 to 39.9 percent,Margin of Error!!Total:!!Housing units with a mortgage:!!35.0 to 39.9 percent,Estimate!!Total:!!Housing units with a mortgage:!!40.0 to 49.9 percent,Margin of Error!!Total:!!Housing units with a mortgage:!!40.0 to 49.9 percent,Estimate!!Total:!!Housing units with a mortgage:!!50.0 percent or more,Margin of Error!!Total:!!Housing units with a mortgage:!!50.0 percent or more,Estimate!!Total:!!Housing units with a mortgage:!!Not computed,Margin of Error!!Total:!!Housing units with a mortgage:!!Not computed,Estimate!!Total:!!Housing units without a mortgage:,Margin of Error!!Total:!!Housing units without a mortgage:,Estimate!!Total:!!Housing units without a mortgage:!!Less than 10.0 percent,Margin of Error!!Total:!!Housing units without a mortgage:!!Less than 10.0 percent,Estimate!!Total:!!Housing units without a mortgage:!!10.0 to 14.9 percent,Margin of Error!!Total:!!Housing units without a mortgage:!!10.0 to 14.9 percent,Estimate!!Total:!!Housing units without a mortgage:!!15.0 to 19.9 percent,Margin of Error!!Total:!!Housing units without a mortgage:!!15.0 to 19.9 percent,Estimate!!Total:!!Housing units without a mortgage:!!20.0 to 24.9 percent,Margin of Error!!Total:!!Housing units without a mortgage:!!20.0 to 24.9 percent,Estimate!!Total:!!Housing units without a mortgage:!!25.0 to 29.9 percent,Margin of Error!!Total:!!Housing units without a mortgage:!!25.0 to 29.9 percent,Estimate!!Total:!!Housing units without a mortgage:!!30.0 to 34.9 percent,Margin of Error!!Total:!!Housing units without a mortgage:!!30.0 to 34.9 percent,Estimate!!Total:!!Housing units without a mortgage:!!35.0 to 39.9 percent,Margin of Error!!Total:!!Housing units without a mortgage:!!35.0 to 39.9 percent,Estimate!!Total:!!Housing units without a mortgage:!!40.0 to 49.9 percent,Margin of Error!!Total:!!Housing units without a mortgage:!!40.0 to 49.9 percent,Estimate!!Total:!!Housing units without a mortgage:!!50.0 percent or more,Margin of Error!!Total:!!Housing units without a mortgage:!!50.0 percent or more,Estimate!!Total:!!Housing units without a mortgage:!!Not computed,Margin of Error!!Total:!!Housing units without a mortgage:!!Not computed,id
1,Barnstable,14089,542,9299,509,555,153,1015,189,1530,240,1397,221,1088,224,740,159,761,172,665,174,1472,252,76,57,4790,356,1669,249,917,173,648,163,417,137,168,58,271,132,146,94,156,72,371,91,27,25,0600000US2500103690
2,Bourne,6236,356,3955,330,232,84,614,148,583,154,600,172,546,149,352,130,371,162,225,102,432,146,0,19,2281,306,771,220,405,134,263,119,92,54,208,123,119,88,76,65,106,83,241,102,0,19,0600000US2500107175
3,Brewster,3547,247,2258,235,104,61,496,165,298,114,334,134,217,98,198,80,140,86,144,82,327,116,0,17,1289,190,289,100,296,104,346,141,111,61,15,24,68,74,15,23,106,81,29,44,14,22,0600000US2500107980
4,Chatham,2441,149,1308,158,79,44,163,66,241,83,152,64,157,75,123,52,82,44,120,79,183,69,8,13,1133,182,374,108,277,89,84,46,139,57,58,38,0,17,61,38,62,55,59,36,19,21,0600000US2500112995
5,Dennis,5047,319,2894,272,135,67,408,103,639,122,388,117,344,127,173,64,164,64,213,80,417,133,13,20,2153,210,831,132,467,122,262,96,165,68,117,70,38,29,44,46,96,56,123,62,10,15,0600000US2500116775
6,Eastham,2173,157,1188,157,90,47,104,42,191,89,123,60,154,71,104,62,91,49,87,48,244,103,0,12,985,190,287,82,185,88,123,69,203,122,35,56,18,19,18,20,45,51,71,57,0,12,0600000US2500119295
7,Falmouth,10764,445,6355,364,490,150,859,171,1091,212,822,156,433,105,584,151,359,126,715,174,965,235,37,44,4409,383,1722,266,804,163,536,157,245,93,369,125,278,114,27,28,155,63,265,96,8,12,0600000US2500123105
8,Harwich,4601,268,2752,236,142,67,324,118,289,113,383,126,327,124,235,104,133,57,207,66,703,184,9,14,1849,219,684,140,293,102,212,59,149,60,91,65,41,31,108,69,173,97,88,52,10,16,0600000US2500129020
9,Mashpee,5508,262,3656,245,217,87,376,90,436,109,538,140,544,127,254,97,383,171,306,132,602,144,0,19,1852,178,735,133,261,70,115,48,174,55,202,71,99,51,48,30,47,34,163,73,8,13,0600000US2500139100
10,Orleans,2249,139,1004,149,65,30,25,25,204,97,170,71,144,86,26,29,51,39,93,62,226,84,0,17,1245,149,387,93,312,95,185,99,76,43,101,55,44,31,20,22,29,28,69,39,22,24,0600000US2500151440
11,Provincetown,1337,119,740,119,81,44,67,37,53,34,48,33,72,41,36,34,109,69,52,41,213,72,9,14,597,119,162,72,51,33,83,56,71,54,53,33,35,43,0,12,38,29,104,65,0,12,0600000US2500155500
12,Sandwich,7107,309,5083,308,209,90,352,119,1032,187,1082,186,713,201,328,122,204,92,265,94,866,189,32,39,2024,281,722,170,523,158,254,92,91,49,134,97,41,35,54,36,30,30,175,78,0,23,0600000US2500159735
13,Truro,495,122,292,81,7,10,17,17,61,31,26,31,60,59,58,38,23,37,22,34,18,21,0,12,203,88,73,50,0,12,30,35,8,11,36,42,0,12,29,45,20,32,7,11,0,12,0600000US2500170605
14,Wellfleet,1358,166,552,123,10,16,56,38,103,65,40,30,61,62,76,63,66,36,29,26,111,79,0,12,806,159,352,118,175,74,64,54,67,38,37,29,68,58,0,12,11,17,22,25,10,15,0600000US2500174385
15,Yarmouth,8335,322,5053,331,358,102,593,166,701,195,755,232,562,172,399,123,322,127,376,130,954,183,33,35,3282,312,1018,165,687,170,483,139,313,101,155,73,121,67,97,62,53,42,326,101,29,28,0600000US2500182525
16,Adams,2264,166,1424,152,166,60,301,81,275,86,201,88,90,44,99,52,35,25,111,71,146,64,0,17,840,102,203,64,179,62,132,46,128,52,49,46,36,25,35,25,29,29,41,26,8,13,0600000US2500300555
17,Alford,191,34,94,22,11,7,18,9,8,8,21,11,5,7,12,12,3,4,3,6,13,8,0,12,97,32,41,17,19,18,3,4,10,7,2,4,0,12,2,3,3,4,7,6,10,13,0600000US2500300975
18,Becket,755,76,476,61,29,20,51,24,117,42,51,22,76,27,56,37,20,12,30,20,46,17,0,12,279,53,84,24,64,27,48,29,12,11,14,17,25,14,3,4,22,21,7,7,0,12,0600000US2500304545
19,Cheshire,1206,125,779,139,40,32,145,65,242,126,16,20,73,51,50,41,10,16,58,40,133,78,12,18,427,90,140,62,130,63,66,41,12,18,5,9,25,26,0,12,12,19,37,33,0,12,0600000US2500313345
20,Clarksburg,653,38,461,41,40,17,87,29,84,23,90,28,59,20,22,13,17,10,20,11,42,23,0,12,192,34,67,18,41,15,34,21,25,19,10,8,5,7,3,5,0,12,7,7,0,12,0600000US2500314010
21,Dalton,2286,238,1489,219,36,39,305,117,261,143,348,172,200,107,71,53,61,54,150,126,57,45,0,17,797,182,232,106,228,99,110,68,34,38,65,63,0,17,16,25,17,26,74,55,21,34,0600000US2500316180
22,Egremont,512,68,315,59,37,22,28,16,46,18,52,26,32,22,32,28,18,14,45,25,25,12,0,12,197,54,85,39,29,20,24,21,14,18,12,11,17,17,10,16,3,6,3,5,0,12,0600000US2500321360
23,Florida,273,42,174,32,2,4,54,21,37,20,11,7,12,13,21,16,7,5,8,6,22,13,0,12,99,29,35,15,26,17,12,7,8,6,5,4,2,3,0,12,2,4,7,6,2,3,0600000US2500324120
